Jan 01, 2004  02:51:53 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 901 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 55, amu 
Scan Stop Mass, 145, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 131.00,   4.85E-007, 
 131.10,   3.92E-007, 
 131.20,   1.21E-007, 
 131.30,   1.43E-008, 
 131.40,   1.10E-008, 
 131.50,   1.44E-008, 
 131.60,   2.67E-008, 
 131.70,   5.75E-008, 
 131.80,   2.08E-007, 
 131.90,   4.76E-007, 
 132.00,   5.81E-007, 
 132.10,   4.52E-007, 
 132.20,   1.16E-007, 
 132.30,   9.66E-009, 
 132.40,   4.13E-009, 
 132.50,   3.32E-009, 
 132.60,   2.99E-009, 
 132.70,   2.84E-009, 
 132.80,   2.71E-009, 
 132.90,   2.63E-009, 
 133.00,   2.58E-009, 
 133.10,   2.67E-009, 
 133.20,   2.76E-009, 
 133.30,   3.05E-009, 
 133.40,   3.59E-009, 
 133.50,   4.72E-009, 
 133.60,   8.45E-009, 
 133.70,   1.91E-008, 
 133.80,   6.45E-008, 
 133.90,   1.67E-007, 
 134.00,   2.11E-007, 
 134.10,   1.79E-007, 
 134.20,   5.27E-008, 
 134.30,   6.54E-009, 
 134.40,   3.27E-009, 
 134.50,   2.59E-009, 
 134.60,   2.32E-009, 
 134.70,   2.22E-009, 
 134.80,   2.23E-009, 
 134.90,   2.15E-009, 
 135.00,   2.08E-009, 
 135.10,   2.08E-009, 
 135.20,   2.15E-009, 
 135.30,   2.31E-009, 
 135.40,   2.67E-009, 
 135.50,   3.42E-009, 
 135.60,   5.99E-009, 
 135.70,   1.35E-008, 
 135.80,   3.54E-008, 
 135.90,   1.10E-007, 
 136.00,   1.56E-007, 
 136.10,   1.43E-007, 
 136.20,   5.24E-008, 
 136.30,   5.42E-009, 
 136.40,   1.67E-009, 
 136.50,   7.90E-010, 
 136.60,   4.78E-010, 
 136.70,   3.16E-010, 
 136.80,   1.97E-010, 
 136.90,   9.38E-011, 
 137.00,   9.25E-011, 
 137.10,   9.70E-011, 
 137.20,   8.16E-011, 
 137.30,   4.82E-011, 
 137.40,   6.88E-011, 
 137.50,   7.90E-011, 
 137.60,   6.56E-011, 
 137.70,   5.14E-011, 
 137.80,   2.12E-011, 
 137.90,   2.19E-011, 
 138.00,   3.02E-011, 
 138.10,   7.65E-011, 
 138.20,   7.33E-011, 
 138.30,   5.53E-011, 
 138.40,   7.90E-011, 
 138.50,   6.30E-011, 
 138.60,   7.13E-011, 
 138.70,   5.01E-011, 
 138.80,   2.83E-011, 
 138.90,  -6.43E-012, 
 139.00,   1.29E-011, 
 139.10,   5.21E-011, 
 139.20,   6.88E-011, 
 139.30,   9.45E-011, 
 139.40,   5.85E-011, 
 139.50,   3.79E-011, 
 139.60,   3.15E-011, 
 139.70,   1.74E-011, 
 139.80,   2.89E-011, 
 139.90,   3.92E-011, 
 140.00,   3.41E-011, 
 140.10,   4.95E-011, 
 140.20,   4.95E-011, 
